creator_id,tier,is_sampled,is_posted,gmv
L3_0001,L3+,1,1,3024.48
L3_0002,L3+,1,1,861.95
L3_0003,L3+,1,1,119.17
L3_0004,L3+,1,1,6954.17
L3_0005,L3+,1,1,4304.64
L3_0006,L3+,1,1,5255.31
L3_0007,L3+,1,1,10560.1
L3_0008,L3+,1,1,382.07
L3_0009,L3+,1,1,1009.16
L3_0010,L3+,1,1,2839.61
L3_0011,L3+,1,1,2381.59
L3_0012,L3+,1,1,334.23
L3_0013,L3+,1,1,3383.83
L3_0014,L3+,1,1,508.34
L3_0015,L3+,1,1,506.74
L3_0016,L3+,1,1,1539.95
L3_0017,L3+,1,1,1797.59
L3_0018,L3+,1,1,1735.41
L3_0019,L3+,1,1,191.89
L3_0020,L3+,1,1,4198.65
L3_0021,L3+,1,1,617.4
L3_0022,L3+,1,1,277.41
L3_0023,L3+,1,1,4391.92
L3_0024,L3+,1,1,6231.35
L3_0025,L3+,1,1,3962.85
L3_0026,L3+,1,1,3316.37
L3_0027,L3+,1,1,2129.83
L3_0028,L3+,1,1,1600.83
L3_0029,L3+,1,1,182.01
L3_0030,L3+,1,1,1050.03
L3_0031,L3+,1,1,932.62
L3_0032,L3+,1,1,601.54
L3_0033,L3+,1,1,2570.51
L3_0034,L3+,1,1,1369.86
L3_0035,L3+,1,1,169.04
L3_0036,L3+,1,1,497.39
L3_0037,L3+,1,1,2299.34
L3_0038,L3+,1,1,158.37
L3_0039,L3+,1,1,3810.4
L3_0040,L3+,1,1,1366.97
L3_0041,L3+,1,1,1310.11
L3_0042,L3+,1,1,1794.98
L3_0043,L3+,1,1,3482.3
L3_0044,L3+,1,1,854.84
L3_0045,L3+,1,1,2266.51
L3_0046,L3+,1,1,1668.19
L3_0047,L3+,1,1,621.3
L3_0048,L3+,1,1,4217.82
L3_0049,L3+,1,1,3193.3
L3_0050,L3+,1,1,2148.53
L3_0051,L3+,1,1,3802.01
L3_0052,L3+,1,1,4039.24
L3_0053,L3+,1,1,2464.49
L3_0054,L3+,1,1,3628.17
L3_0055,L3+,1,1,2391.16
L3_0056,L3+,1,1,2279.75
L3_0057,L3+,1,1,1927.87
L3_0058,L3+,1,1,2794.44
L3_0059,L3+,1,1,345.39
L3_0060,L3+,1,1,4255.09
L3_0061,L3+,1,1,4109.01
L3_0062,L3+,1,1,59.37
L3_0063,L3+,1,1,3495.29
L3_0064,L3+,1,1,275.93
L3_0065,L3+,1,1,816.29
L3_0066,L3+,1,1,2721.32
L3_0067,L3+,1,1,350.52
L3_0068,L3+,1,1,3407.13
L3_0069,L3+,1,1,3569.18
L3_0070,L3+,1,1,1416.39
L3_0071,L3+,1,1,12.81
L3_0072,L3+,1,1,676.65
L3_0073,L3+,1,1,1919.06
L3_0074,L3+,1,1,7946.33
L3_0075,L3+,1,1,1998.33
L3_0076,L3+,1,1,601.68
L3_0077,L3+,1,1,2010.28
L3_0078,L3+,1,1,1552.99
L3_0079,L3+,1,1,3026.85
L3_0080,L3+,1,1,226.29
L3_0081,L3+,1,1,2862.82
L3_0082,L3+,1,1,1558.57
L3_0083,L3+,1,1,6593.24
L3_0084,L3+,1,1,836.71
L3_0085,L3+,1,1,2002.73
L3_0086,L3+,1,1,5377.32
L3_0087,L3+,1,1,216.31
L3_0088,L3+,1,1,5536.51
L3_0089,L3+,1,1,2328.77
L3_0090,L3+,1,1,140.5
L3_0091,L3+,1,1,716.1
L3_0092,L3+,1,1,2463.18
L3_0093,L3+,1,1,139.45
L3_0094,L3+,1,1,1745.36
L3_0095,L3+,1,1,848.94
L3_0096,L3+,1,1,1939.99
L3_0097,L3+,1,1,93.64
L3_0098,L3+,1,1,4104.23
L3_0099,L3+,1,1,7260.39
L3_0100,L3+,1,1,6939.67
L3_0101,L3+,1,1,2769.81
L3_0102,L3+,1,1,278.72
L3_0103,L3+,1,1,2839.81
L3_0104,L3+,1,1,49.79
L3_0105,L3+,1,1,44.74
L3_0106,L3+,1,1,781.97
L3_0107,L3+,1,1,1341.38
L3_0108,L3+,1,1,2942.9
L3_0109,L3+,1,1,2299.57
L3_0110,L3+,1,1,1180.83
L3_0111,L3+,0,1,479.54
L3_0112,L3+,0,1,8777.29
L3_0113,L3+,0,1,833.16
L3_0114,L3+,0,1,900.54
L3_0115,L3+,0,1,268.02
L3_0116,L3+,0,1,2375.73
L3_0117,L3+,0,1,1774.7
L3_0118,L3+,0,1,374.17
L3_0119,L3+,0,1,128.96
L3_0120,L3+,0,1,1711.49
L3_0121,L3+,0,1,1594.19
L3_0122,L3+,0,1,478.78
L3_0123,L3+,0,1,4519.73
L3_0124,L3+,0,1,245.65
L3_0125,L3+,0,1,849.34
L3_0126,L3+,0,1,4313.35
L3_0127,L3+,0,1,816.39
L3_0128,L3+,0,0,985.67
L3_0129,L3+,0,0,3.49
L3_0130,L3+,0,0,357.44
L3_0131,L3+,0,0,270.14
L3_0132,L3+,0,0,125.58
L3_0133,L3+,0,0,63.84
L3_0134,L3+,0,0,205.95
L3_0135,L3+,0,0,1431.56
L3_0136,L3+,0,0,195.19
L3_0137,L3+,0,0,365.73
L3_0138,L3+,0,0,607.04
L3_0139,L3+,0,0,225.99
L3_0140,L3+,0,0,1783.9
L3_0141,L3+,0,0,1641.0
L3_0142,L3+,0,0,145.03
L3_0143,L3+,0,0,343.83
L3_0144,L3+,0,0,178.97
L3_0145,L3+,0,0,167.62
L3_0146,L3+,0,0,18.79
L3_0147,L3+,0,0,470.25
L3_0148,L3+,0,0,349.26
L3_0149,L3+,0,0,26.43
L3_0150,L3+,0,0,163.31
L3_0151,L3+,0,0,1194.43
L3_0152,L3+,0,0,136.93
L3_0153,L3+,0,0,78.27
L3_0154,L3+,0,0,336.14
L3_0155,L3+,0,0,2122.02
L3_0156,L3+,0,0,138.57
L3_0157,L3+,0,0,557.58
L3_0158,L3+,0,0,716.94
L3_0159,L3+,0,0,135.67
L3_0160,L3+,0,0,651.37
L3_0161,L3+,0,0,229.26
L3_0162,L3+,0,0,500.25
L3_0163,L3+,0,0,501.92
L3_0164,L3+,0,0,383.69
L3_0165,L3+,0,0,47.31
L3_0166,L3+,0,0,901.82
L3_0167,L3+,0,0,193.41
L3_0168,L3+,0,0,103.22
L3_0169,L3+,0,0,20.81
L3_0170,L3+,0,0,446.89
L3_0171,L3+,0,0,565.93
L3_0172,L3+,0,0,8.36
L3_0173,L3+,0,0,358.82
L3_0174,L3+,0,0,128.41
L3_0175,L3+,0,0,518.06
L3_0176,L3+,0,0,95.8
L3_0177,L3+,0,0,587.11
L3_0178,L3+,0,0,244.48
L3_0179,L3+,0,0,1380.17
L3_0180,L3+,0,0,73.97
L3_0181,L3+,0,0,208.57
L3_0182,L3+,0,0,60.22
L3_0183,L3+,0,0,1293.1
L3_0184,L3+,0,0,1049.17
L3_0185,L3+,0,0,149.16
L3_0186,L3+,0,0,539.38
L3_0187,L3+,0,0,849.74
L3_0188,L3+,0,0,405.07
L3_0189,L3+,0,0,377.14
L3_0190,L3+,0,0,138.44
L3_0191,L3+,0,0,48.86
L3_0192,L3+,0,0,1137.56
L3_0193,L3+,0,0,1153.39
L3_0194,L3+,0,0,501.33
L3_0195,L3+,0,0,207.02
L3_0196,L3+,0,0,214.78
L3_0197,L3+,0,0,647.23
L3_0198,L3+,0,0,1137.05
L3_0199,L3+,0,0,1090.57
L3_0200,L3+,0,0,756.78
L3_0201,L3+,0,0,513.66
L3_0202,L3+,0,0,43.95
L3_0203,L3+,0,0,88.15
L3_0204,L3+,0,0,1144.12
L3_0205,L3+,0,0,466.25
L3_0206,L3+,0,0,4.62
L3_0207,L3+,0,0,53.5
L3_0208,L3+,0,0,544.58
L3_0209,L3+,0,0,2.54
L3_0210,L3+,0,0,87.66
L3_0211,L3+,0,0,397.85
L3_0212,L3+,0,0,588.66
L3_0213,L3+,0,0,527.72
L3_0214,L3+,0,0,126.97
L3_0215,L3+,0,0,622.71
L3_0216,L3+,0,0,135.41
L3_0217,L3+,0,0,196.82
L3_0218,L3+,0,0,686.18
L3_0219,L3+,0,0,524.39
L3_0220,L3+,0,0,945.98
L3_0221,L3+,0,0,535.91
L3_0222,L3+,0,0,420.02
L3_0223,L3+,0,0,49.18
L3_0224,L3+,0,0,229.21
L3_0225,L3+,0,0,154.08
L3_0226,L3+,0,0,139.85
L3_0227,L3+,0,0,1806.15
L3_0228,L3+,0,0,249.69
L3_0229,L3+,0,0,1113.03
L3_0230,L3+,0,0,498.67
L3_0231,L3+,0,0,791.91
L3_0232,L3+,0,0,349.22
L3_0233,L3+,0,0,430.08
L3_0234,L3+,0,0,339.15
L3_0235,L3+,0,0,108.61
L3_0236,L3+,0,0,640.88
L3_0237,L3+,0,0,164.79
L3_0238,L3+,0,0,12.31
L3_0239,L3+,0,0,518.48
L3_0240,L3+,0,0,97.47
L3_0241,L3+,0,0,1410.54
L3_0242,L3+,0,0,1538.78
L3_0243,L3+,0,0,1231.75
L3_0244,L3+,0,0,231.14
L3_0245,L3+,0,0,7.79
L3_0246,L3+,0,0,1317.76
L3_0247,L3+,0,0,279.47
L3_0248,L3+,0,0,1700.42
L3_0249,L3+,0,0,1656.87
L3_0250,L3+,0,0,958.69
L3_0251,L3+,0,0,174.39
L3_0252,L3+,0,0,243.15
L3_0253,L3+,0,0,952.36
L3_0254,L3+,0,0,190.57
L3_0255,L3+,0,0,92.86
L3_0256,L3+,0,0,406.87
L3_0257,L3+,0,0,1375.65
L3_0258,L3+,0,0,595.41
L3_0259,L3+,0,0,422.06
L3_0260,L3+,0,0,51.11
L3_0261,L3+,0,0,477.27
L3_0262,L3+,0,0,2305.28
L3_0263,L3+,0,0,75.46
L3_0264,L3+,0,0,365.25
L3_0265,L3+,0,0,1049.3
L3_0266,L3+,0,0,675.02
L3_0267,L3+,0,0,597.04
L3_0268,L3+,0,0,606.14
L3_0269,L3+,0,0,222.75
L3_0270,L3+,0,0,173.78
L3_0271,L3+,0,0,828.69
L3_0272,L3+,0,0,830.66
L3_0273,L3+,0,0,1008.98
L3_0274,L3+,0,0,1222.31
L3_0275,L3+,0,0,358.05
L3_0276,L3+,0,0,348.09
L3_0277,L3+,0,0,800.47
L3_0278,L3+,0,0,524.86
L3_0279,L3+,0,0,605.28
L3_0280,L3+,0,0,794.31
L3_0281,L3+,0,0,1103.66
L3_0282,L3+,0,0,206.24
L3_0283,L3+,0,0,235.47
L3_0284,L3+,0,0,49.35
